id,message
"4", Stuning even for the non-gamer: This sound track was beautiful! It paints the senery in your mind so well I would recomend it even to people who hate vid. game music! I have played the game Chrono Cross but out of all of the games I have ever played it has the best music! It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras. It would impr
"0", Short good text overwhelming background noise and old film.: These two short tapes consist of a brief description of 50 years of white-red relations treaties and conflicts. Because of its brevity there is little detail presented. The text is interesting and appears to be factually correct. The presentation is relatively unbiased and is quite interesting. It would make a good audio tape. The extra loud background music and simulated battlefield noise sometimes drowns out the text. The visual portion consists of old photographs presumably authentic in detail and clips from old grade B movies which are quite far from authentic. These are rerun from 6 to 10 times throughout the presentation and of course have no bearing on the text. Except for the extreme brevity and the overwhelming background noise one can ignore the visual effects and derive a worthwhile understanding of many aspects of the period of the Indian Wars.
"0", do not buy this piece of c--p: do not buy The Great Indian Wars. the same hollywood movie stock played over and over sometimes without even turning down the borrowed movie's audio. i couldn't concentrate on the narration and that was a shame because the narration was very well written. the narrator also had a fine voice and read his stuff superbly. i felt sorry for him being assocaited with something that went so bad through no fault of his own. someone ruined this "documentary" with the choice and use of the visual footage.i even tried turning off the picture and listening only to the narration but the silly dialogue and old-western music score made trying to listen only to the narrator sheer torture. i only wish i could have given this film a rating it really deserves. MINUS FIVE! the fact that they used 2 tapes when the entire length is only 96 minutes proves to me that the intent of the producers was only to flim-flam the public into thinking they were getting a lot for their money.
"0", The Great Indian Wars 1840-1890: This is without a doubt the worst video I have ever watched.The videos picture could not tracted without jumping lines and wiggling screen it was painful for me to watch.The movie itself was out of focus.They used old black and white movies" indians meet the cavalry " to illustrate the action and pencil drawings of the indian chiefs while they spoke of them. There was one man speaking with a monotone voice.After five minutes it became very boring to watch.The movie was put together very poorly and hard to watch the pictures had very little contrast and hard listen to.It was so bad I could'nt retain any of infomationmy mind kept wandering off. If you enjoy being boredand having your ears and eyes assulted by this low grade quality picture this movie is for you. Reviewed by Paul Phillips
"0", You get what you pay for I guess.: This radiator seems to be very cheaply built. Its aluminum and plastic! It did not even come with a radiator cap. How cheap can you get?
"0", Not working correctly: I purchased this a month ago and found out this was not working correctly.I had it pugged in and it went on by itself then another time I could not control it with the remote....Not happy in Lynn Mass
"0", do not buy: I do not recommend this item to anyone. I had it for two weeks and it quit working. I tried it again and when it rains it quits again. Would not buy again.
"0", NO GOOD: Bought this for the Christmas lights 1 for outside and one for the treeworks great EVEN WITH EVERY OTHER REMOTE YOU HAVE WILL TURN IT ON OR OFFAND DRIVE YOU CRAZY!!!!THE CAR REMOTE/ GARAGE/ HANDY SWITCHES ALL TURNED THE LIGHTS ON
"4", The big picture: This book gave me a overview of tequila that included the agricultural considerations cultural heritage and history of mescal de tequila not just a guide to making margaritas. It is well written with enough detail to satisfy the curious yet straightforward enough to allow for the average reader. Exceptionally informative book!
"0", Not happy with seller: I ordered and paid for an 8 ounce product and received a 4 ounce product. Now the seller wants me to take a picture of the product and the bar code and send it to them before they will make good on it. I've ordered from them before and there have been issues. Never again....What a pain.
"4", A Mystery that won't get your blood pressure up...: "Dumb Witness" is a slower moving more relaxing type of mystery--no intense drama or tension but just a well-written tragedy.
"4", FUNKY JIMMY: IF YOU ARE LOOKING FOR THE FUNKY SIDE OF JIMMY REED HERE IT IS!JIMMY REED JR. ON THE BASS GUITAR ADDS THE FUNKY TOUCH WITH THE ADDITIONS OF SOME WAH WAH PEDALS ON THE OTHER GUITARS ALSO! ITS A LITTLE DIFFERENT THAN HIS OTHER MUSIC BUT ITS IS STILL A GREAT CD!
"4", Easy to install: I was looking for a shower door that could open from either the left or the right and I did not want one to choose for me. This door ticks and fits all the right boxes in that department. I like the crystal glass effect too. It is very clear and allows a lot of light into the shower hub. It is frameless too which is what was asked for by the wife.Its sturdy quarter of an inch thick glass also is a nice feature. But most of all the pivot door is a feature I got on with too.
"4", Kohler: Kohler K-702410-L-MX Matte Nickel Fluence Fluence Frameless Pivot Shower Door with Crystal Clear Glass - 35" - 36-1/2" W x 65-1/2" H K-702410-L. Fluence frameless pivot shower door with Crystal Clear glass 35 - 36-1/2" x 65-1/2" The Fluence pivot shower door features a Eurostyle frameless design with Crystal Clear 1/4"-thick tempered glass. Featuring a roller compression latch that secures closure the door allows 1-1/2" adjustability for out-of-plumb installations and can be installed to open to the left or right. 35 - 36-1/2" x 65-1/2" The continuous contact point along the entire jamb edge provides a smooth stable operation while keeping the hinge concealed
"0", Not a "Bible" by any means whatsoever: This book says it is a "look" and that what it is. By no means is it the Bible or even a beginner's guide to the 1911. Half the book is just gun reviews which you can get anywhere. Another 1/4 or more has to do with competitions and things like that. If you want to learn about the "use care and maintenance" of the 1911 look elsewhere. The internet is better than this book.
"4", READ the book . It is for all 1911 fans.: Read more than the table of contents! Some people have obviously rated this book without reading it. The Author explains why some guns are included in the test and others are left out (in 2 Places in the book). The author also talks about and praises his personal "Colt" 1911's. So you Rampant Pony fans should not feel left out. This book is obviously not ground breaking as there have been many books about the 1911 but it is very informative (gunsmithing tactical course competitions& reloading). It provides an indepth comparison of the wide variety of the modern makes of the 1911.
"4", Outstanding information on the 1911!: This book is one of the most comprehensive books on the 1911. If you want to know anything about the 1911 this book (along with Vol. 2) is the best source of information.
"4", Gun Digest: The book was bought as a gift for my brother. He likes it and we were very pleased with speed of delivery and service.
"0", Flimsy materials potentially dangerous item: Even though this is rated to hold up to 2000 lbs. I would not trust it to last very long. The nylon and ropes that this comes with are clearly very low quality. Some of the ropes even showed signs of fraying straight out of box. Cannot recommend this item.
"0", Wabash 1938: This trilley has been opersted only a few hours and the drive system seems to be slipping already. Not durable and not recommended.
"4", Very Nice Remote Contolled Tripod: I bought this tripod for video tapping an upcomming family wedding and have tried it a couple of times to get used to it. I like the the smooth operation of the controls on the handle. The panning operation is likewise acceptable. The telescopic locking legs work well but are light weight and can rock a little during panning. The lightness is also a plus because it collapses into a small over the shoulder bag for easy toteing. One hand on the tripod for stabilization and one on the control handle during panning works well.
"4", Good for Sony Video Camera: This is an excellent tripod for Sony Video Camera. I am using this with my Sony Camcorder and remote is working pretty good. Its legs are strong. I am using the same with my Nikon D50( remote is not usable). And I am satisfied with the performance. only one issue is the base where you attach camera is plastic. So sometimes I am not comfortable with my DSLR with its zoom lens
"0", Don't buy from Antonline: We purchased this tripod for one of the larger Sony cameras that we also purchased through Amazon. The camera is awesome. The page for the camera recommended this tripod so we bought it from Antonline. This tripod is not nearly strong enough for use smoothly with our camera and when I contacted Antonline for a refund they refused to deal with me even if I paid the shipping back to them. If you buy this tripod beware that truly strong remote control tripods can start at $300 and go up from there.
"4", Excellent product: I used this for taping while we were opening gifts for christmas. The remote features are great. This product makes video recording easy and fun.
"0", A padded short story disguised as a literary novel: The kindest description of this book would be that it is well-written and quite pointless. The plot is paper thin and all the characters (with the possible exception of Mr Hilditch) are either two dimensional or borrowed from other more superior works. The much-touted plot twist when it finally arrives lacks any irony and seems contrived. William Trevor is best known as a short story writer and this book is essentially a short story padded into a novel. As a well-written mildly diverting piece of light entertainment it would have been acceptable as a prize-winning piece of high literary pretensions it is not. Dickens Poe even Highsmith have succeeded much better in what Trevor seeks to achieve.
"0", Good basic story but many flaws: I found the basic idea of the book to be excellent and very true to life however I cannot say the same for the characters Felicia in particular. Beyond her frustration we are never privy to any of her emotions. What did she think of her plight? Why did she never worry that Johnny her lover might reject her? I feel that the author made a mistake by never writing in Felicia's viewpoint during her scenes with Mr. Hilditch. We certainly know many of his feeling and thoughts concerning Felicia but never never any of her thoughts about her sinister friend. ...The character of Mr. Hilditch is very well developed unfortunately more so than the main character. I felt that too much of the book (one quarter) was devoted to Mr. Hilditch's downward spiral. It almost becomes a completely different story.As a previous reviewer mentioned the author's practice on going back and the forth between past and present was confusing.
"4", a page turner that leaves an impression on your heart: Trevor does an execptional job of captivating the reader and telling the story from the two main characters (Felicia and Hilditch). One cannot help but feel sad after reading this novel. All involved appear to be victims at various times and on various levels. Felicia the victim of death (her mothers) and a jilted lover and Hilditch. Hilditch a victim of his mother and his need for "friendship".Trevor will keep you reading and feeling throughout the book. Do not expect to feel good after reading this novel. A great book for a book group discussion.
"4", An excellent book please don't watch the film: Felicia's journey is an excellent novel. The background to both characters is well developed. Mr. Hilditch in particular becomes more sinister due to his overwhelmingly ordinary appearance. The intimations of his unusual childhood merely suggest that he may be more disturbed than his manner presumes. Mr. Hilditch's interactions with strangers in the presence of Felicia provide the most chilling insight into the purpose of his friendship with her. It is for this reason alone that the film fails so miserably. No reference is made at all to these brief conversations. As for Felicia herself it must be said that her character is a little limp. There are few convent girls left in Ireland who show such naivety. However she does grow more likeable but not enough to demonstrate why she should affect Mr. Hilditch so much.
